0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Class,Pass_No,iter_No
2.441323242,2.444771484,2.445270996,2.444908447,2.442032227,2.429262451,2.418031494,2.410192383,2.438874023,2.424976318,2.434209229,2.409225586,2.4410896,2.438640381,2.44092041,2.397809326,3_Bumps,0,1
2.441266846,2.444747314,2.445222656,2.444779541,2.441967773,2.428843506,2.417451416,2.409700928,2.43890625,2.425040771,2.434209229,2.409273926,2.441105713,2.438704834,2.440952637,2.398776123,3_Bumps,0,1
2.441234619,2.444650635,2.44519043,2.444618408,2.441919434,2.428489014,2.417032471,2.409265869,2.438922363,2.425105225,2.434193115,2.409314209,2.44106543,2.438769287,2.440984863,2.39974292,3_Bumps,0,1
2.441202393,2.444529785,2.445125977,2.444465332,2.441887207,2.428158691,2.416887451,2.40907251,2.438938477,2.425185791,2.434225342,2.409370605,2.441033203,2.43883374,2.44101709,2.40067749,3_Bumps,0,1
2.441154053,2.444376709,2.444715088,2.444167236,2.44187915,2.427804199,2.416758545,2.408814697,2.43895459,2.425250244,2.434225342,2.409451172,2.441049316,2.438898193,2.441049316,2.401579834,3_Bumps,0,1
2.441145996,2.444320313,2.444263916,2.44391748,2.441846924,2.427473877,2.416629639,2.408524658,2.438970703,2.425314697,2.434225342,2.409515625,2.441033203,2.438962646,2.441081543,2.402425781,3_Bumps,0,1
2.441097656,2.444199463,2.443780518,2.443595215,2.441814697,2.427143555,2.416516846,2.408266846,2.438946533,2.42537915,2.434225342,2.409580078,2.441049316,2.4390271,2.44111377,2.403360352,3_Bumps,0,1
2.44106543,2.444054443,2.443272949,2.443329346,2.441782471,2.426813232,2.416404053,2.408009033,2.438962646,2.425443604,2.434225342,2.409644531,2.441025146,2.439091553,2.441145996,2.404294922,3_Bumps,0,1
2.441009033,2.443925537,2.442660645,2.44300708,2.441685791,2.426466797,2.416283203,2.407751221,2.43897876,2.425508057,2.434257568,2.409708984,2.441009033,2.439156006,2.441178223,2.405165039,3_Bumps,0,1
2.440912354,2.443764404,2.442040283,2.442725098,2.441645508,2.426112305,2.416154297,2.407533691,2.438994873,2.42557251,2.434257568,2.409773438,2.44096875,2.439220459,2.441210449,2.406115723,3_Bumps,0,1
2.440839844,2.443611328,2.441411865,2.442394775,2.441581055,2.425757813,2.416033447,2.407388672,2.439010986,2.425628906,2.434289795,2.409837891,2.440928467,2.439284912,2.441242676,2.407106689,3_Bumps,0,1
2.440751221,2.443522705,2.440775391,2.442080566,2.441484375,2.425411377,2.415904541,2.407155029,2.439043213,2.425693359,2.434289795,2.409902344,2.440912354,2.439349365,2.441274902,2.407904297,3_Bumps,0,1
2.440686768,2.443401855,2.440130859,2.441726074,2.441436035,2.425089111,2.415775635,2.406945557,2.439075439,2.425757813,2.434289795,2.409966797,2.440880127,2.439413818,2.441307129,2.408718018,3_Bumps,0,1
